Data - RAIL3;Fechamento - RAIL3;Data - RAILJ182;Fechamento;Data - RAILI182;Fechamento - RAILI182;Data - RAILJ185;Fechamento - RAILJ185;Data - RAILI187;Fechamento - RAILI187;Data - RAILJ187;Fechamento - RAILJ187;Data - RAILI190;Fechamento - RAILI190;Data - RAILJ190;Fechamento - RAILJ190;Data - RAILI192;Fechamento - RAILI192 ;Data - RAILJ192;Fechamento - RAILJ192;Data - RAILJ195;Fechamento - RAILJ195;Data - RAILI197;Fechamento - RAILI197;Data - RAILJ197;Fechamento - RAILJ197;Data - RAILI200;Fechamento - RAILI200;Data - RAILJ200;Fechamento - RAILJ200
10/09/2021;18,12;10/09/2021;0,77;10/09/2021;0,46;10/09/2021;0,74;10/09/2021;0,2;10/09/2021;0,72;10/09/2021;0,16;10/09/2021;0,55;10/09/2021;0,13;10/09/2021;0,5;10/09/2021;0,39;10/09/2021;0,06;10/09/2021;0,37;10/09/2021;0,02;10/09/2021;0,28
09/09/2021;18,56;09/09/2021;0,78;09/09/2021;0,85;09/09/2021;0,69;09/09/2021;0,5;09/09/2021;0,7;09/09/2021;0,4;09/09/2021;0,55;09/09/2021;0,23;06/09/2021;0,72;09/09/2021;0,54;09/09/2021;0,07;09/09/2021;0,29;09/09/2021;0,1;09/09/2021;0,43
08/09/2021;18,23;08/09/2021;0,88;08/09/2021;0,6;08/09/2021;0,78;08/09/2021;0,25;08/09/2021;0,68;08/09/2021;0,19;08/09/2021;0,58;08/09/2021;0,13;03/09/2021;0,71;08/09/2021;0,4;08/09/2021;0,07;08/09/2021;0,33;08/09/2021;0,05;08/09/2021;0,29
06/09/2021;18,94;03/09/2021;0,95;06/09/2021;0,59;06/09/2021;1,12;06/09/2021;0,57;03/09/2021;0,98;06/09/2021;0,39;06/09/2021;0,85;06/09/2021;0,37;02/09/2021;0,73;03/09/2021;0,66;06/09/2021;0,18;06/09/2021;0,55;06/09/2021;0,14;06/09/2021;0,47
03/09/2021;18,99;24/08/2021;1,41;03/09/2021;0,65;03/09/2021;1,15;03/09/2021;0,61;02/09/2021;0,96;03/09/2021;0,51;03/09/2021;0,86;03/09/2021;0,39;30/08/2021;0,66;02/09/2021;0,61;03/09/2021;0,2;03/09/2021;0,38;03/09/2021;0,14;03/09/2021;0,42
02/09/2021;19,01;23/08/2021;1,05;02/09/2021;1;02/09/2021;1,13;02/09/2021;0,66;01/09/2021;1,1;02/09/2021;0,5;02/09/2021;0,95;02/09/2021;0,42;26/08/2021;0,63;01/09/2021;0,78;02/09/2021;0,23;01/09/2021;0,7;02/09/2021;0,18;02/09/2021;0,49
01/09/2021;19,35;19/08/2021;0,85;01/09/2021;1,29;01/09/2021;1,43;01/09/2021;0,9;31/08/2021;0,79;01/09/2021;0,55;01/09/2021;1,11;01/09/2021;0,59;25/08/2021;0,69;31/08/2021;0,45;01/09/2021;0,35;31/08/2021;0,38;01/09/2021;0,25;01/09/2021;0,61
31/08/2021;18,72;18/08/2021;0,99;31/08/2021;0,68;31/08/2021;0,85;31/08/2021;0,45;30/08/2021;0,85;31/08/2021;0,33;31/08/2021;0,7;31/08/2021;0,24;24/08/2021;0,8;30/08/2021;0,52;31/08/2021;0,12;30/08/2021;0,46;31/08/2021;0,1;31/08/2021;0,34
30/08/2021;18,85;;;30/08/2021;0,92;30/08/2021;1,06;30/08/2021;0,6;26/08/2021;0,92;30/08/2021;0,43;30/08/2021;0,75;30/08/2021;0,36;17/08/2021;0,6;27/08/2021;0,64;30/08/2021;0,18;26/08/2021;0,43;30/08/2021;0,15;30/08/2021;0,36
27/08/2021;19,01;;;27/08/2021;0,94;27/08/2021;1,16;27/08/2021;0,63;25/08/2021;0,92;27/08/2021;0,51;27/08/2021;0,87;27/08/2021;0,42;;;26/08/2021;0,54;27/08/2021;0,23;25/08/2021;0,51;27/08/2021;0,18;27/08/2021;0,47
26/08/2021;18,73;;;26/08/2021;0,85;26/08/2021;0,92;26/08/2021;0,58;23/08/2021;0,84;26/08/2021;0,53;26/08/2021;0,72;26/08/2021;0,49;;;25/08/2021;0,62;26/08/2021;0,27;24/08/2021;0,55;26/08/2021;0,16;26/08/2021;0,37
25/08/2021;18,87;;;25/08/2021;0,96;24/08/2021;1,17;25/08/2021;0,67;20/08/2021;0,8;25/08/2021;0,52;25/08/2021;0,88;25/08/2021;0,43;;;24/08/2021;0,72;25/08/2021;0,26;23/08/2021;0,48;25/08/2021;0,2;25/08/2021;0,46
24/08/2021;18,73;;;24/08/2021;0,99;23/08/2021;0,96;24/08/2021;0,62;19/08/2021;0,82;24/08/2021;0,5;24/08/2021;0,84;24/08/2021;0,39;;;23/08/2021;0,57;24/08/2021;0,22;16/08/2021;0,73;24/08/2021;0,18;24/08/2021;0,48
23/08/2021;18,43;;;23/08/2021;0,76;20/08/2021;0,95;23/08/2021;0,5;17/08/2021;0,84;23/08/2021;0,42;23/08/2021;0,72;23/08/2021;0,33;;;20/08/2021;0,54;23/08/2021;0,18;13/08/2021;0,75;23/08/2021;0,14;23/08/2021;0,4
20/08/2021;18,12;;;20/08/2021;0,72;19/08/2021;0,92;20/08/2021;0,5;11/08/2021;1,6;20/08/2021;0,38;20/08/2021;0,71;20/08/2021;0,32;;;19/08/2021;0,38;20/08/2021;0,22;11/08/2021;0,89;20/08/2021;0,17;20/08/2021;0,4
19/08/2021;18,26;;;19/08/2021;0,76;18/08/2021;0,87;19/08/2021;0,52;10/08/2021;1,6;19/08/2021;0,4;19/08/2021;0,63;19/08/2021;0,28;;;18/08/2021;0,5;19/08/2021;0,18;;;19/08/2021;0,16;19/08/2021;0,43
18/08/2021;18,05;;;18/08/2021;0,67;17/08/2021;1,13;18/08/2021;0,45;;;18/08/2021;0,37;18/08/2021;0,66;18/08/2021;0,31;;;17/08/2021;0,56;18/08/2021;0,19;;;18/08/2021;0,16;18/08/2021;0,36
17/08/2021;18,59;;;17/08/2021;0,89;;;17/08/2021;0,46;;;17/08/2021;0,48;17/08/2021;0,84;17/08/2021;0,44;;;16/08/2021;0,63;17/08/2021;0,24;;;17/08/2021;0,22;17/08/2021;0,44
16/08/2021;18,61;;;16/08/2021;1,09;;;16/08/2021;0,68;;;16/08/2021;0,55;16/08/2021;0,83;16/08/2021;0,48;;;13/08/2021;0,82;16/08/2021;0,28;;;16/08/2021;0,24;16/08/2021;0,48
13/08/2021;19,12;;;13/08/2021;0,92;;;13/08/2021;0,69;;;;;13/08/2021;1,05;13/08/2021;0,86;;;16/10/2020;0,01;13/08/2021;0,42;;;13/08/2021;0,33;13/08/2021;0,66
12/08/2021;19,55;;;10/08/2021;1,72;;;;;;;;;16/10/2020;0,06;12/08/2021;0,95;;;15/10/2020;0,1;12/08/2021;0,66;;;12/08/2021;0,55;12/08/2021;0,83
11/08/2021;19,64;;;25/06/2021;1,92;;;;;;;;;15/10/2020;0,25;11/08/2021;1,03;;;14/10/2020;0,1;11/08/2021;0,76;;;11/08/2021;0,66;11/08/2021;0,87
10/08/2021;19,58;;;;;;;;;;;;;14/10/2020;0,33;06/08/2021;1,35;;;13/10/2020;0,1;10/08/2021;0,71;;;10/08/2021;0,59;10/08/2021;0,91
09/08/2021;19,97;;;;;;;;;;;;;09/10/2020;0,09;03/08/2021;1,7;;;08/10/2020;0,12;09/08/2021;1;;;09/08/2021;0,91;16/10/2020;0,01
06/08/2021;20,19;;;;;;;;;;;;;08/10/2020;0,24;;;;;07/10/2020;0,13;06/08/2021;1,1;;;06/08/2021;0,96;15/10/2020;0,04
05/08/2021;20,09;;;;;;;;;;;;;07/10/2020;0,27;;;;;06/10/2020;0,21;27/07/2021;1,74;;;05/08/2021;0,9;14/10/2020;0,04
04/08/2021;20,29;;;;;;;;;;;;;06/10/2020;0,45;;;;;05/10/2020;0,3;23/07/2021;1,74;;;04/08/2021;1,18;13/10/2020;0,04
03/08/2021;20,73;;;;;;;;;;;;;05/10/2020;0,48;;;;;02/10/2020;0,36;14/07/2021;1,74;;;03/08/2021;0,93;09/10/2020;0,05
02/08/2021;20,82;;;;;;;;;;;;;01/10/2020;0,99;;;;;01/10/2020;0,54;13/07/2021;1,5;;;02/08/2021;1,77;08/10/2020;0,09
30/07/2021;20,66;;;;;;;;;;;;;30/09/2020;0,7;;;;;30/09/2020;0,45;12/07/2021;1,4;;;30/07/2021;1,38;07/10/2020;0,09
29/07/2021;20,91;;;;;;;;;;;;;;;;;;;29/09/2020;0,56;30/06/2021;0,95;;;29/07/2021;1,46;06/10/2020;0,15
28/07/2021;21,11;;;;;;;;;;;;;;;;;;;;;;;;;28/07/2021;1,84;05/10/2020;0,18
27/07/2021;20,8;;;;;;;;;;;;;;;;;;;;;;;;;27/07/2021;1,47;02/10/2020;0,29
26/07/2021;21,27;;;;;;;;;;;;;;;;;;;;;;;;;26/07/2021;1,94;01/10/2020;0,47
23/07/2021;21,35;;;;;;;;;;;;;;;;;;;;;;;;;21/07/2021;2,23;30/09/2020;0,31
22/07/2021;21,45;;;;;;;;;;;;;;;;;;;;;;;;;20/07/2021;1,93;29/09/2020;0,38
21/07/2021;21,7;;;;;;;;;;;;;;;;;;;;;;;;;19/07/2021;1,54;28/09/2020;0,76
20/07/2021;21,35;;;;;;;;;;;;;;;;;;;;;;;;;16/07/2021;1,34;25/09/2020;1,1
19/07/2021;20,87;;;;;;;;;;;;;;;;;;;;;;;;;14/07/2021;1,62;24/09/2020;1,23
16/07/2021;20,46;;;;;;;;;;;;;;;;;;;;;;;;;13/07/2021;1,16;23/09/2020;1,19
15/07/2021;20,53;;;;;;;;;;;;;;;;;;;;;;;;;08/07/2021;1,19;22/09/2020;1,26
14/07/2021;20,76;;;;;;;;;;;;;;;;;;;;;;;;;07/07/2021;1,26;21/09/2020;1,17
13/07/2021;20,4;;;;;;;;;;;;;;;;;;;;;;;;;06/07/2021;0,84;18/09/2020;1,65
12/07/2021;20,13;;;;;;;;;;;;;;;;;;;;;;;;;05/07/2021;1,01;11/09/2020;1,61
08/07/2021;20;;;;;;;;;;;;;;;;;;;;;;;;;30/06/2021;0,9;02/09/2020;2,82
07/07/2021;20,27;;;;;;;;;;;;;;;;;;;;;;;;;25/06/2021;0,93;;
06/07/2021;19,36;;;;;;;;;;;;;;;;;;;;;;;;;23/06/2021;1,17;;
05/07/2021;19,79;;;;;;;;;;;;;;;;;;;;;;;;;18/09/2020;1,3;;
02/07/2021;19,75;;;;;;;;;;;;;;;;;;;;;;;;;02/09/2020;2,53;;
01/07/2021;19,75;;;;;;;;;;;;;;;;;;;;;;;;;13/08/2020;2,8;;
30/06/2021;19,15;;;;;;;;;;;;;;;;;;;;;;;;;06/08/2020;2,6;;
29/06/2021;19,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/06/2021;19,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/06/2021;19,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/06/2021;19,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/06/2021;19,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/06/2021;19,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/06/2021;20,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/06/2021;20,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/06/2021;20,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/06/2021;20,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/06/2021;20,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/06/2021;20,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/06/2021;20,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/06/2021;21,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/06/2021;20,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/06/2021;21,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/06/2021;21,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/06/2021;21,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/06/2021;21,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/06/2021;21,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2021;20,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/05/2021;20,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/05/2021;20,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/05/2021;20,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/05/2021;20,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2021;20,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/05/2021;19,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/05/2021;20,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/05/2021;20,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2021;20,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2021;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/05/2021;20,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/05/2021;20,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/05/2021;20,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2021;21,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/05/2021;21,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/05/2021;21,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2021;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2021;20,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2021;20,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2021;20,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2021;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2021;20,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/04/2021;20,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/04/2021;20,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/04/2021;20,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/04/2021;21,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2021;20,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/04/2021;20,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/04/2021;20,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/04/2021;21,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2021;20,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/04/2021;20,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/04/2021;20,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/04/2021;20,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/04/2021;20,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2021;20,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/04/2021;20,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/04/2021;20,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/04/2021;20,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2021;20,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2021;20,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/03/2021;20,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/03/2021;19,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/03/2021;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/03/2021;19,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/03/2021;19,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2021;19,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/03/2021;20,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/03/2021;20,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2021;20,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/03/2021;20,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2021;19,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/03/2021;20,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/03/2021;19,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2021;19,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021;18,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/2021;18,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/2021;18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/03/2021;20,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2021;19,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/2021;18,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2021;18,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/2021;18,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/02/2021;18,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2021;18,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/02/2021;19,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/02/2021;19,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/02/2021;19,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/02/2021;19,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2021;20,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/02/2021;20,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/02/2021;20,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021;19,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2021;20,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/02/2021;20,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/02/2021;21,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/02/2021;21,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2021;21,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021;21,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/02/2021;20,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/02/2021;21,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/01/2021;20,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2021;20,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/01/2021;20,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/01/2021;20,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/01/2021;20,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2021;20,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/01/2021;21,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/01/2021;21,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/01/2021;20,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/01/2021;21,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2021;20,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2021;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2021;20,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2021;19,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2021;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2021;19,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2021;19,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2021;19,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2021;19,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/12/2020;19,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/12/2020;19,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/12/2020;19,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/12/2020;19,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/12/2020;19,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/12/2020;19,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/12/2020;19,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/12/2020;19,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/12/2020;19,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/12/2020;19,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/12/2020;18,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/12/2020;18,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2020;19,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/12/2020;19,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/12/2020;19,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2020;19,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/12/2020;20,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/12/2020;20,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/12/2020;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/12/2020;19,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2020;18,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/11/2020;19,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/11/2020;19,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/11/2020;19,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/11/2020;18,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/11/2020;19,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/11/2020;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/11/2020;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/11/2020;18,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/11/2020;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/11/2020;18,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2020;19,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2020;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/11/2020;20,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/11/2020;20,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/11/2020;20,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/11/2020;19,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/11/2020;19,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/11/2020;19,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/11/2020;18,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/10/2020;18,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/10/2020;18,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/10/2020;17,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/10/2020;18,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/10/2020;18,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/10/2020;18,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/2020;18,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/10/2020;18,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/10/2020;18,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/10/2020;18,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/10/2020;18,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/10/2020;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/10/2020;18,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/10/2020;17,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/10/2020;18,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/10/2020;18,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/10/2020;18,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/10/2020;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/10/2020;18,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/10/2020;18,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/10/2020;19,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2020;19,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/09/2020;19,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/09/2020;19,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/09/2020;20,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/09/2020;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/09/2020;20,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/09/2020;20,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/09/2020;20,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/09/2020;21,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/09/2020;21,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/09/2020;21,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/09/2020;21,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/09/2020;21,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/09/2020;21,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/09/2020;21,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/09/2020;22,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/09/2020;22,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/09/2020;22,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/09/2020;22,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/09/2020;22,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/09/2020;22,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2020;22,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/08/2020;23,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/2020;22,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/08/2020;22,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/08/2020;23,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/08/2020;22,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/08/2020;22,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/2020;22,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/08/2020;22,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/08/2020;22,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/08/2020;22,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/08/2020;22,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/08/2020;22,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/08/2020;22,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/08/2020;22,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/08/2020;22,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/08/2020;23,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/08/2020;22,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/08/2020;21,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;
